DateAndTime            ,Date            ,Time        ,TOTAL_FBC               
2022-11-16 03:57:26.000,      2022-11-16,03:57:26    ,                  1044.0
2022-11-16 03:56:26.000,      2022-11-16,03:56:26    ,                  1042.0
2022-11-16 03:55:26.000,      2022-11-16,03:55:26    ,                  1041.0
2022-11-16 03:54:26.000,      2022-11-16,03:54:26    ,                  1038.0
2022-11-16 03:53:26.000,      2022-11-16,03:53:26    ,                  1036.0
2022-11-16 03:52:26.000,      2022-11-16,03:52:26    ,                  1033.0
2022-11-16 03:51:26.000,      2022-11-16,03:51:26    ,                   523.0
2022-11-16 03:50:26.000,      2022-11-16,03:50:26    ,                  1029.0
2022-11-16 03:49:26.000,      2022-11-16,03:49:26    ,                  1025.0
2022-11-16 03:48:26.000,      2022-11-16,03:48:26    ,                  1023.0
2022-11-16 03:47:26.000,      2022-11-16,03:47:26    ,                  1020.0
2022-11-16 03:46:26.000,      2022-11-16,03:46:26    ,                  1019.0
2022-11-16 03:45:26.000,      2022-11-16,03:45:26    ,                  1016.0
2022-11-16 03:44:26.000,      2022-11-16,03:44:26    ,                  1012.0
2022-11-16 03:43:26.000,      2022-11-16,03:43:26    ,                  1008.0
2022-11-16 03:42:26.000,      2022-11-16,03:42:26    ,                  1004.0
2022-11-16 03:41:26.000,      2022-11-16,03:41:26    ,                   998.0
2022-11-16 03:40:26.000,      2022-11-16,03:40:26    ,                   994.0
2022-11-16 03:39:26.000,      2022-11-16,03:39:26    ,                   988.0
2022-11-16 03:38:26.000,      2022-11-16,03:38:26    ,                   985.0
2022-11-16 03:37:26.000,      2022-11-16,03:37:26    ,                   982.0
2022-11-16 03:36:26.000,      2022-11-16,03:36:26    ,                   980.0
2022-11-16 03:35:26.000,      2022-11-16,03:35:26    ,                   977.0
2022-11-16 03:34:26.000,      2022-11-16,03:34:26    ,                   977.0
2022-11-16 03:33:26.000,      2022-11-16,03:33:26    ,                   976.0
2022-11-16 03:32:26.000,      2022-11-16,03:32:26    ,                   972.0
2022-11-16 03:31:26.000,      2022-11-16,03:31:26    ,                   970.0
2022-11-16 03:30:26.000,      2022-11-16,03:30:26    ,                   968.0
2022-11-16 03:29:26.000,      2022-11-16,03:29:26    ,                   964.0
2022-11-16 03:28:26.000,      2022-11-16,03:28:26    ,                   961.0
2022-11-16 03:27:26.000,      2022-11-16,03:27:26    ,                   958.0
2022-11-16 03:26:26.000,      2022-11-16,03:26:26    ,                   952.0
2022-11-16 03:25:26.000,      2022-11-16,03:25:26    ,                   948.0
2022-11-16 03:24:26.000,      2022-11-16,03:24:26    ,                   944.0
2022-11-16 03:23:26.000,      2022-11-16,03:23:26    ,                   941.0
2022-11-16 03:22:26.000,      2022-11-16,03:22:26    ,                   941.0
2022-11-16 03:21:26.000,      2022-11-16,03:21:26    ,                   938.0
2022-11-16 03:20:26.000,      2022-11-16,03:20:26    ,                   936.0
2022-11-16 03:19:26.000,      2022-11-16,03:19:26    ,                   930.0
2022-11-16 03:18:26.000,      2022-11-16,03:18:26    ,                   926.0
2022-11-16 03:17:26.000,      2022-11-16,03:17:26    ,                   922.0
2022-11-16 03:16:26.000,      2022-11-16,03:16:26    ,                   916.0
2022-11-16 03:15:26.000,      2022-11-16,03:15:26    ,                   912.0
2022-11-16 03:14:26.000,      2022-11-16,03:14:26    ,                   906.0
2022-11-16 03:13:26.000,      2022-11-16,03:13:26    ,                   902.0
2022-11-16 03:12:26.000,      2022-11-16,03:12:26    ,                   897.0
2022-11-16 03:11:26.000,      2022-11-16,03:11:26    ,                   892.0
2022-11-16 03:10:26.000,      2022-11-16,03:10:26    ,                   887.0
2022-11-16 03:09:26.000,      2022-11-16,03:09:26    ,                   883.0
2022-11-16 03:08:26.000,      2022-11-16,03:08:26    ,                   877.0
2022-11-16 03:07:26.000,      2022-11-16,03:07:26    ,                   873.0
2022-11-16 03:06:26.000,      2022-11-16,03:06:26    ,                   867.0
2022-11-16 03:05:26.000,      2022-11-16,03:05:26    ,                   863.0
2022-11-16 03:04:26.000,      2022-11-16,03:04:26    ,                   857.0
2022-11-16 03:03:26.000,      2022-11-16,03:03:26    ,                   853.0
2022-11-16 03:02:26.000,      2022-11-16,03:02:26    ,                   847.0
2022-11-16 03:01:26.000,      2022-11-16,03:01:26    ,                   844.0
2022-11-16 03:00:26.000,      2022-11-16,03:00:26    ,                   840.0
2022-11-16 02:59:26.000,      2022-11-16,02:59:26    ,                   837.0
2022-11-16 02:58:26.000,      2022-11-16,02:58:26    ,                   832.0
2022-11-16 02:57:26.000,      2022-11-16,02:57:26    ,                   827.0
2022-11-16 02:56:26.000,      2022-11-16,02:56:26    ,                   822.0
2022-11-16 02:55:26.000,      2022-11-16,02:55:26    ,                   819.0
2022-11-16 02:54:26.000,      2022-11-16,02:54:26    ,                   817.0
